,security_id,date,close,adjusted_price
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-22,23.8300,23.8300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-23,22.5300,22.5300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-24,21.9000,21.9000
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-25,22.7100,22.7100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-26,23.1600,23.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-27,23.1600,23.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-28,23.1600,23.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-29,21.4700,21.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-30,23.1700,23.1700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-08-31,24.5500,24.5500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-01,26.0300,26.0300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-02,25.6800,25.6800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-03,25.6800,25.6800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-04,25.6800,25.6800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-05,25.6800,25.6800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-06,25.6100,25.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-07,28.1900,28.1900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-08,27.8700,27.8700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-09,25.5600,25.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-10,25.5600,25.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-11,25.5600,25.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-12,24.6700,24.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-13,24.8500,24.8500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-14,24.5500,24.5500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-15,26.4700,26.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-16,26.5900,26.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-17,26.5900,26.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-18,26.5900,26.5900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-19,26.4900,26.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-20,27.1600,27.1600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-21,27.5300,27.5300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-22,27.2600,27.2600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-23,29.9100,29.9100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-24,29.9100,29.9100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-25,29.9100,29.9100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-26,31.9200,31.9200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-27,30.9500,30.9500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-28,28.6100,28.6100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-29,28.9900,28.9900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-09-30,30.2800,30.2800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-01,30.2800,30.2800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-02,30.2800,30.2800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-03,28.0200,28.0200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-04,26.1500,26.1500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-05,24.8300,24.8300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-06,23.9900,23.9900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-07,22.8800,22.8800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-08,22.8800,22.8800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-09,22.8800,22.8800
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-10,23.6700,23.6700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-11,25.0300,25.0300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-12,25.5600,25.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-13,24.4000,24.4000
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-14,25.8600,25.8600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-15,25.8600,25.8600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-16,25.8600,25.8600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-17,25.8200,25.8200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-18,26.5400,26.5400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-19,25.6500,25.6500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-20,25.6400,25.6400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-21,25.4100,25.4100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-22,25.4100,25.4100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-23,25.4100,25.4100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-24,25.4900,25.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-25,25.2900,25.2900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-26,23.8200,23.8200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-27,23.4600,23.4600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-28,24.0200,24.0200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-29,24.0200,24.0200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-30,24.0200,24.0200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-10-31,24.6500,24.6500
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-01,23.7200,23.7200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-02,23.0200,23.0200
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-03,23.4100,23.4100
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-04,21.4900,21.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-05,21.4900,21.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-06,21.4900,21.4900
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-07,21.5400,21.5400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-08,22.6000,22.6000
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-09,24.2300,24.2300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-10,23.9300,23.9300
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-11,22.5600,22.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-12,22.5600,22.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-13,22.5600,22.5600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-14,23.8400,23.8400
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-15,22.9600,22.9600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-16,23.8000,23.8000
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-17,24.7600,24.7600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-18,25.4700,25.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-19,25.4700,25.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-20,25.4700,25.4700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-21,25.3600,25.3600
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-22,24.7700,24.7700
1,sec-s-196a05164bad4499b58d7514e70cac89,2022-11-23,26.3200,26.3200
