unique_indicator,type,asset,cad,usd,fx_rate,fees_cad,fees_usd,from_account,to_account,date
order-ff7dd7aa-81fa-4af2-b7de-7cb74e4e0c00,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3105.82,1,0,0,Compte_USD_WS,,2023-09-18
order-6cae53bb-f3d2-45ee-8f59-fcda123f2c5f,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3102.5,1,0,0,Compte_USD_WS,,2023-09-15
order-a0928d24-b145-4d91-b413-f32fb2c54bbc,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3077,1,0,0,Compte_USD_WS,,2023-09-15
order-eaa92b03-9590-43c2-99a1-4848640bafb8,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3066,1,0,0,Compte_USD_WS,,2023-09-15
order-8634b2d1-cf00-4fa9-92fe-3975f6320aa7,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-3040.8,1,0,0,Compte_USD_WS,,2023-09-15
order-d5c626f4-485f-46ad-9027-d1ab4c0f1038,order,ProShares UltraShort Bloomberg Crude Oil,0,3047.4,1,0,0,Compte_USD_WS,,2023-09-13
order-c40e4590-c3a0-4914-99b3-59db451cfb3b,order,ProShares UltraShort Bloomberg Crude Oil,0,-3015,1,0,0,Compte_USD_WS,,2023-09-13
order-cffbe7ce-dc75-47aa-b476-f3ec48cd25ca,order,ProShares UltraShort Bloomberg Crude Oil,0,3000.6,1,0,0,Compte_USD_WS,,2023-09-12
order-67fd7d1b-b6ab-4a12-bc2b-170810cccea5,order,ProShares UltraShort Bloomberg Crude Oil,0,-3007.8,1,0,0,Compte_USD_WS,,2023-09-12
order-a3e46650-fa1f-4509-98a0-c905a88f8a7c,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,3023.25,1,0,0,Compte_USD_WS,,2023-09-08
order-50c3a948-57f8-4250-bc44-f4b025eee5d7,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-2997.15,1,0,0,Compte_USD_WS,,2023-09-08
order-7d65101a-185d-4429-8d89-54b988872c9c,order,ProShares UltraShort Bloomberg Crude Oil,0,2949.5,1,0,0,Compte_USD_WS,,2023-09-07
order-dd9754d9-a8e5-48be-8591-5e07f0023622,order,ProShares UltraShort Bloomberg Crude Oil,0,-2941,1,0,0,Compte_USD_WS,,2023-09-07
order-52323df5-3137-4d1d-a56b-c4440f9c7794,order,ProShares UltraShort Bloomberg Crude Oil,0,2871,1,0,0,Compte_USD_WS,,2023-09-07
order-34cd58e6-371d-4abb-a997-c2fbf92a3ef1,order,ProShares UltraShort Bloomberg Crude Oil,0,-2847.9,1,0,0,Compte_USD_WS,,2023-09-07
order-32bd6294-9c41-4342-9488-13c61effbe31,order,ProShares UltraShort Bloomberg Crude Oil,0,2744,1,0,0,Compte_USD_WS,,2023-09-06
order-2771f117-0532-4a41-b166-bde1539309a0,order,ProShares UltraShort Bloomberg Crude Oil,0,-2748.8,1,0,0,Compte_USD_WS,,2023-09-06
order-24bc25c7-c1a6-4995-96fd-eea9e4b8e460,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,2755.76,1,0,0,Compte_USD_WS,,2023-09-06
order-5e028e5b-c417-4f72-951e-3a13262dcdb9,order,,0,190,1,0,0,Compte_USD_WS,,2023-09-06
order-931078fd-a7be-4e4c-b2ec-d96069a7cb92,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-2744,1,0,0,Compte_USD_WS,,2023-09-06
order-b595f97e-98cc-4cfc-a2fb-8c42257f93ff,order,,0,-150,1,0,0,Compte_USD_WS,,2023-09-06
order-194abad9-c6b3-40c6-a699-d75b485b947a,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-34.1,1,0,0,Compte_USD_WS,,2023-09-06
order-25a9fe8d-2e01-4df7-a6d1-784a7cbaa811,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,2892.68,1,0,0,Compte_USD_WS,,2023-09-05
order-0e759d44-75e7-441d-ae6a-6c4984829592,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-2907,1,0,0,Compte_USD_WS,,2023-09-05
order-9fa20e2a-a79d-4d1e-b939-d2ccaa931d4f,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,2934.2,1,0,0,Compte_USD_WS,,2023-09-05
order-32f562eb-dea8-4a01-8e28-8ddbb4f60420,order,Proshares Trust Ii - Ultra Bloomberg 2017,0,-2907,1,0,0,Compte_USD_WS,,2023-09-05
order-56673da6-45f0-4ee8-9db9-bab4d63b4d91,order,ProShares UltraShort Bloomberg Crude Oil,0,2938.65,1,0,0,Compte_USD_WS,,2023-09-01
order-c7d4f712-9d22-4838-ba62-5a495a26aa80,order,ProShares UltraShort Bloomberg Crude Oil,0,-2978.25,1,0,0,Compte_USD_WS,,2023-09-01
order-b7be134e-08ef-414b-a16b-23d03261c18a,order,ProShares UltraShort Bloomberg Crude Oil,0,2985.13,1,0,0,Compte_USD_WS,,2023-09-01
order-cef45240-2b05-49ef-baea-c204ec4e9ff3,order,ProShares UltraShort Bloomberg Crude Oil,0,-2978.25,1,0,0,Compte_USD_WS,,2023-09-01
order-9f8f8ded-ec9d-4510-b363-645697638d5e,order,ProShares UltraShort Bloomberg Crude Oil,0,2808.32,1,0,0,Compte_USD_WS,,2023-08-31
order-f4c79d1f-22e0-4834-9b8b-0db0451d7c31,order,ProShares UltraShort Bloomberg Crude Oil,0,-2805,1,0,0,Compte_USD_WS,,2023-08-31
order-2eaf073a-d499-4eea-b7ed-8a38c2055f57,order,ProShares UltraShort Bloomberg Crude Oil,0,2872.5,1,0,0,Compte_USD_WS,,2023-08-31
order-f97a03f1-2753-49c9-8773-b200d3b836e2,order,ProShares UltraShort Bloomberg Crude Oil,0,-2835,1,0,0,Compte_USD_WS,,2023-08-31
order-83bf1aea-abdb-44d2-8e2a-d1510aaf10c5,order,ProShares UltraShort Bloomberg Crude Oil,0,2391.8,1,0,0,Compte_USD_WS,,2023-08-25
order-9925123e-7e35-4b4f-9016-80d9a110a7a0,order,ProShares UltraShort Bloomberg Crude Oil,0,-2388,1,0,0,Compte_USD_WS,,2023-08-25
